recipe_id,recipe_number,recipe_name,age_min_months,age_max_months,energy_kcal,protein_g,iron_mg,retinol_ug,zinc_mg,preparation,nutrition_message,source_page
REC_0021,21,Mix de verduras,12,23,211,11.5,2.1,2.1,2.1,"1. Hacer un aderezo con el aceite, el ajo, la cebolla picada en cuadraditos y una pizca de sal. 2. Agregar el pollo en trozos, la zanahoria picada en cuadraditos, las arvejas, el choclo desgranado y el agua. 3. Una vez cocinado espesar con el pan molido. 4. Si desea en el ultimo hervir agregar las pasas. 5. Servir el mix de verduras acompañado con arroz graneado.","El pollo es una fuente rica en proteinas, muy importante para el crecimiento",56-57
REC_0022,22,Solterito de lentejitas,12,23,405,30.2,4.0,19.9,3.1,"1. Sancochar las lentejitas, el pollo, la papa y el brocoli por separado. 2. Cortar el pollo, la papa, el brocoli y el queso en cuadraditos. 3. Mezclar la lentejitas con la papa, el pollo, el brocoli, el limon y el queso, agregar la pizca de sal y el aceite. 4. Servir acompañado con arroz graneado.",Recuerda que a partir de los 12 meses tu niño puede comer segundos de la olla familiar,58-60
REC_0023,23,Tortilla brillante,12,23,528,19.0,6.5,3541.1,2.3,"1. Sancochar el zapallo y el higado de pollo. 2. Aplastar el zapallo. Picar el higado sancochado en cuadraditos. 3. Aparte batir el huevo, la harina, el zapallo y la pizca de sal. 4. Agregar a la mezcla anterior, el higado en trocitos. Mezclar todo. 5. Freir en aceite bien caliente. 6. Servir acompañado con arroz graneado.","El higado, la sangrecita, el bazo y el bofe son alimentos ricos en hierro que ayudan a prevenir la anemia",61-62
REC_0024,24,Fiesta de verduras,12,23,359,25.0,2.7,275.3,2.2,"1. Lavar y trozar el pollo y el brocoli. 2. Hacer un aderezo con el aceite, el ajo, la cebolla picada en cuadraditos y una pizca de sal. 3. Agregar la papa, la zanahoria en cuadraditos, el choclo y el pollo, añadir el agua y dejar cocinar unos minutos. 4. Una vez que este medio cocido añadir el brocoli hasta que termine de cocinar. 5. Servir acompañado de arroz graneado.","Durante las enfermedades, ofrecele a tu niño pequeñas cantidades de alimentos varias veces al dia, entre siete u ocho veces",63-64
REC_0025,25,Higado en salsa verde,12,23,397,22.8,9.8,5972.5,3.9,"1. Hacer una mezcla con el ajo, el aceite y una pizca de sal. 2. Macerar los higados en la mezcla anterior por 30 minutos. 3. Freir los higados en aceite bien caliente. 4. Sancochar aparte las arvejas y licuar o aplastar la espinaca. 5. Colocar los higados, las arvejas, la espinaca y la mezcla del macerado y dejar dar un hervor por unos minutos. 6. Servir acompañado de arroz graneado y papa sancochada en rodajas.",Recuerda que el consumo diario de alimentos de origen animal es de por lo menos dos cucharadas al dia,65-66
REC_0026,26,Pure de yuca con higado frito y arroz,12,23,239,10.4,3.8,2952.0,1.8,"1. Lavar, pelar, sancochar la yuca y aplastar con ayuda de un tenedor (retirar las hebras). 2. En una olla freir el ajo molido con la mantequilla, agregar la sal, el caldo, la leche y la yuca aplastada. 3. Mezclar hasta que tenga una consistencia espesa. 4. Filetear el higado de pollo, sazonar con una pizca de sal y freir. 5. Para preparar la ensalada pelar, rallar la zanahoria y sazonar con sal y gotas de limon. 6. Servir acompañado con el higado frito, la ensalada y el arroz graneado.","Los alimentos ricos en hierro y de buena absorcion son el higado, el bofe, el bazo, la sangrecita, etc.",67-68
REC_0027,27,Pollo con saltado de brocoli y arroz,12,23,267,25.0,2.3,25.0,2.1,"1. Freir el ajo molido, la cebolla picada en cuadraditos, una rodaja de tomate picado en cuadraditos y el aceite. 2. Agregar el pollo sin piel y el agua hasta que cocine. 3. Adicionar el brocoli picado en ramitas delgadas, una pizca de sal yodada y dejar que cocine por unos minutos. 4. Para preparar la ensalada de tomate, lavar, pelar, agregar en el jugo de limon y una pizca de sal. 5. Servir el saltado de brocoli acompañado de ensalada de tomate y el arroz graneado.","Separar plato, taza y cubiertos adecuados a su edad para uso exclusivo del niño",69-70
REC_0028,28,Torrejita antianemica,12,23,267,25.0,7.3,190.0,1.4,"1. Sancochar el bazo picado en cuadraditos. 2. En un tazon, batir la harina con el agua, agregar el huevo, el bazo, la zanahoria rallada, el brocoli picado (solo la flor), y una pizca de sal. 3. Freir las torrejitas en el aceite caliente. 4. Para preparar la ensalada, lavar, pelar y cortar en rodajas el tomate, sazonar con el jugo de limon y una pizca de sal. 5. Servir una torrejita de bazo acompañada con la ensalada de tomate y el arroz graneado.",El bazo es una fuente economica de hierro y ayuda a prevenir la anemia,71-72
REC_0029,29,Trigo a la jardinera con higado,12,23,166,9.8,4.0,2619.7,1.4,"1. Para preparar el trigo a la jardinera, freir el ajo molido en el aceite, agregar la zanahoria picada en cuadraditos, las arveja sin cascara, el choclo desgranado, la mitad de agua, la sal yodada y el trigo sancochado. Mezclar todo y cocinar. 2. Para preparar el higado a la plancha, lavar y sazonar con el pimiento licuado y sal. 3. Poner en una sarten el higado sazonado con el resto de agua y cocinarlo dandole vueltas por ambos lados. 4. Servir el trigo a la jardinera con higado de pollo a la plancha.",Dar el alimento en la temperatura adecuada para el niño,73-74
REC_0030,30,Chaufa de sangrecita,12,23,496,28.4,31.8,8,1.8,"1. Granear el arroz. 2. Batir el huevo, agregar una pizca de sal, freir y picar en cuadraditos. 3. Freir en una sarten la cebolla china picada en cuadraditos, el aceite y la sangrecita sancochada picada en cuadraditos. 4. Mezclar el arroz graneado con la preparacion anterior y el huevo picado y luego servir.",La sangrecita es un alimento con hierro de facil absorcion en nuestro cuerpo y ayuda a prevenir la anemia,75-76
